1,-101.80072515136733
2,-101.96371911116273
3,-106.88669820063532
4,-106.66950815362034
5,-106.950740518536
6,-164.51285009356752
7,-173.86305639649171
8,-113.77583638939379
9,-116.92284785087203
10,-116.6642640196576
11,-122.32178651465888
12,-123.24590720005078
13,-123.60709753502343
14,-123.3202766224465
15,-123.5645089749546
16,-123.54283361331963
17,-123.29659584098461
18,-123.25595346027404
19,-123.64417071683557
20,-123.95981345313349
21,-123.28091983929588
22,-122.83850426091621
23,-172.90958224833545
24,-119.61583667486039
25,-117.43235972100415
26,-121.8375188014104
27,-100.87251420653445
28,-144.31675481043655
29,-131.05531407725138
30,-72.2904173950996
31,-115.45335279706919
32,-124.16292773138959
33,-119.59325034739842
34,-121.56351109176408
35,-129.74747490432242
36,-109.30295100858446
37,-115.394838284205
38,-117.92928617348528
39,-118.44122054741622
40,-118.64311555304954
41,-112.81346055519742
42,-114.65591966422556
43,-115.97518179231044
44,-113.81821480207081
45,-118.57999521800204
46,-119.06066868299037
47,-125.31311067626761
48,-118.14349779100418
49,-115.75134734521986
50,-124.04629379808887
51,-100.45515987624044
52,-100.40601289940132
53,-115.53887870793679
54,-119.14715762242076
55,-116.90403362655479
56,-119.726277802682
57,-116.51732544694228
58,-99.82828548808516
59,-123.96817490785298
60,-100.2170468647366
61,-105.16886584450288
62,-98.24715950240889
63,-97.35797028030613
64,-99.80554865614235
65,-70.81865476053963
66,-109.85457859136604
67,-118.21300910138214
68,-126.06930897157275
69,-98.59471475868419
70,-125.42254168202952
71,-116.37829237797847
72,-109.18202409533811
73,-98.49545298099129
74,-117.14091657887917
75,-115.48465041501755
76,-103.00330652480048
77,-108.640460544235
78,-99.16376879153228
79,-76.53170502213166
80,-99.678577156757
81,-106.7811995977321
82,-129.00831437850584
83,-99.74709035439619
84,-131.70187996656153
85,-119.18135583455661
86,-97.26275878493482
87,-121.18805171043493
88,-97.82378916327778
89,-116.02039574201592
90,-103.84924084336187
91,-97.33505385177367
92,-97.1847504002853
93,-103.66482788470483
94,-100.02866171615055
95,-99.70294772765165
96,-97.64617604510354
97,-103.60600980358254
98,-102.17345489284412
99,-99.61584095584747
100,-100.17767971571374
101,-101.84806757546204
102,-105.94258970421134
103,-101.2767348694811
104,-104.8106210476474
105,-99.73838528536574
106,-103.93008326472042
107,-104.89611602043776
108,-105.71505580954161
109,-102.01066368087784
110,-100.97858710682411
111,-100.202465941598
112,-99.78255629514356
113,-100.49479202793515
114,-104.16831763921864
115,-104.07907536448654
116,-130.31845548088623
117,-102.22137433047233
118,-101.64948349725394
119,-103.46014997452208
120,-136.2448172120633
121,-130.0651192505768
122,-101.86135455217276
123,-125.88528453744532
124,-102.11978012687142
125,-101.21859495476282
126,-100.67990543423139
127,-101.01858157176258
128,-105.20653288454946
129,-105.86733996738911
130,-101.16108026501686
131,-101.04668815419974
132,-101.534499485586
133,-107.87953853347301
134,-107.01879193904082
135,-101.40268638281405
136,-102.80670139647154
137,-108.02919461287236
138,-101.6366448687079
139,-131.59147440151781
140,-136.31003027198602
141,-134.30500099555886
142,-134.6260358224946
143,-131.8330801262784
144,-140.61397973689338
145,-106.64489750417475
146,-120.350042448221
147,-136.97100136708124
148,-131.67462035154085
149,-131.52665376249624
150,-122.74823734674425
151,-120.96551029666276
152,-133.53678937476906
153,-119.52866421951639
154,-121.82069211211649
155,-118.99673528409969
156,-152.4363054901916
157,-116.4120938400421
